ComEd Basic Electric Service Residential Purchased Energy Charge (PEC),ComEd Basic Electric Service Demand Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Non-Residential Electric Space Heating Purchased Energy Charge (PEC),Ameren Illinois Residential Residential BGS 1,Ameren Illinois Small Commercial Small Commercial BGS 2 - Primary,Ameren Illinois Small Commercial Small Commercial BGS 2 - Secondary,Ameren Illinois Small Commercial Small Commercial BGS 2 - High Voltage,DATE
0.13343325374272727,0.13465933854788728,0.13396328939249358,0.13047624938516872,0.13664725109058182,0.18656763837430831,0.19055846478752095,0.18439336636809028,2043-05-01 01:00:00
0.12193976835552173,0.13762687728305478,0.13666656239564814,0.12730096872238333,0.1318898513604832,0.1891785603812458,0.19359058076296645,0.1867795644904102,2043-06-01 01:00:00
0.12193976835552173,0.13762687728305478,0.13666656239564814,0.12730096872238333,0.1318898513604832,0.1891785603812458,0.19359058076296645,0.1867795644904102,2043-07-01 01:00:00
0.12193976835552173,0.13762687728305478,0.13666656239564814,0.12730096872238333,0.1318898513604832,0.1891785603812458,0.19359058076296645,0.1867795644904102,2043-08-01 01:00:00
0.12193976835552173,0.13762687728305478,0.13666656239564814,0.12730096872238333,0.1318898513604832,0.1891785603812458,0.19359058076296645,0.1867795644904102,2043-09-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2043-10-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2043-11-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2043-12-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2044-01-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2044-02-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2044-03-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2044-04-01 01:00:00
0.1401103347022139,0.14083919522610272,0.14011120261942145,0.13646413355129133,0.1410590747155959,0.1929576502907944,0.19708516401247733,0.19070890864905712,2044-05-01 01:00:00
0.13257349332978166,0.14886177772206993,0.1478230694106235,0.1376929338502752,0.13679561477381075,0.19560710705750306,0.20016905393672602,0.1931265899994204,2044-06-01 01:00:00
0.13257349332978166,0.14886177772206993,0.1478230694106235,0.1376929338502752,0.13679561477381075,0.19560710705750306,0.20016905393672602,0.1931265899994204,2044-07-01 01:00:00
0.13257349332978166,0.14886177772206993,0.1478230694106235,0.1376929338502752,0.13679561477381075,0.19560710705750306,0.20016905393672602,0.1931265899994204,2044-08-01 01:00:00
0.13257349332978166,0.14886177772206993,0.1478230694106235,0.1376929338502752,0.13679561477381075,0.19560710705750306,0.20016905393672602,0.1931265899994204,2044-09-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2044-10-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2044-11-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2044-12-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2045-01-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2045-02-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2045-03-01 01:00:00
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2045-04-01 01:00:00
