ComEd Basic Electric Service Residential PJM Services Charge (PSC),ComEd Basic Electric Service Demand Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Non-Residential Electric Space Heating PJM Services Charge (PSC),Ameren Illinois Residential Residential Rider TS - DS1,Ameren Illinois Small Commercial Small Commercial Rider TS - DS2,DATE
0.016250016834571186,0.01621658058594038,0.01621658058594038,0.01621658058594038,0.022926349294321312,0.023039733811108267,2026-12-01 01:00:00
0.016250678913588206,0.016217241302654898,0.016217241302654898,0.016217241302654898,0.018879779277654284,0.018976474690087845,2027-01-01 01:00:00
0.016250678913588206,0.016217241302654898,0.016217241302654898,0.016217241302654898,0.018879779277654284,0.018976474690087845,2027-02-01 01:00:00
0.016250678913588206,0.016217241302654898,0.016217241302654898,0.016217241302654898,0.018879779277654284,0.018976474690087845,2027-03-01 01:00:00
0.016250678913588206,0.016217241302654898,0.016217241302654898,0.016217241302654898,0.018879779277654284,0.018976474690087845,2027-04-01 01:00:00
0.016250678913588206,0.016217241302654898,0.016217241302654898,0.016217241302654898,0.018879779277654284,0.018976474690087845,2027-05-01 01:00:00
0.016759301977006823,0.016736344029093117,0.016736344029093117,0.016736344029093117,0.024439765492584475,0.02456063475812644,2027-06-01 01:00:00
0.016759301977006823,0.016736344029093117,0.016736344029093117,0.016736344029093117,0.024439765492584475,0.02456063475812644,2027-07-01 01:00:00
0.016759301977006823,0.016736344029093117,0.016736344029093117,0.016736344029093117,0.024439765492584475,0.02456063475812644,2027-08-01 01:00:00
0.016736344029093117,0.016701907107222556,0.016701907107222556,0.016701907107222556,0.024439765492584475,0.02456063475812644,2027-09-01 01:00:00
0.016736344029093117,0.016701907107222556,0.016701907107222556,0.016701907107222556,0.024439765492584475,0.02456063475812644,2027-10-01 01:00:00
0.016736344029093117,0.016701907107222556,0.016701907107222556,0.016701907107222556,0.024439765492584475,0.02456063475812644,2027-11-01 01:00:00
0.016736344029093117,0.016701907107222556,0.016701907107222556,0.016701907107222556,0.024439765492584475,0.02456063475812644,2027-12-01 01:00:00
0.016723977336433504,0.01668956586043261,0.01668956586043261,0.01668956586043261,0.019940338459740144,0.020042465673362365,2028-01-01 01:00:00
0.016723977336433504,0.01668956586043261,0.01668956586043261,0.01668956586043261,0.019940338459740144,0.020042465673362365,2028-02-01 01:00:00
